<http://pkg.samsung.com/relationship#hasHusband>,<http://www.w3.org/2000/01/rdf-schema#label>,"Husband"
<http://pkg.samsung.com/relationship#hasMaternalGrandfather>,<http://www.w3.org/2000/01/rdf-schema#label>,"Maternal grandfather"
<http://pkg.samsung.com/relationship#hasMaternalGrandmother>,<http://www.w3.org/2000/01/rdf-schema#label>,"Maternal grandmother"
<http://pkg.samsung.com/relationship#hasMother>,<http://www.w3.org/2000/01/rdf-schema#label>,"Mother"
<http://pkg.samsung.com/relationship#hasMotherInLawOfHusband>,<http://www.w3.org/2000/01/rdf-schema#label>,"Mother-in-law of husband"
<http://pkg.samsung.com/relationship#hasMotherInLawOfWife>,<http://www.w3.org/2000/01/rdf-schema#label>,"Mother-in-law of wife"
<http://pkg.samsung.com/relationship#hasOlderBrother>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older brother"
<http://pkg.samsung.com/relationship#hasOlderBrotherOfFemale>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older brother of female"
<http://pkg.samsung.com/relationship#hasOlderBrotherOfMale>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older brother of male"
<http://pkg.samsung.com/relationship#hasOlderSister>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older sister"
<http://pkg.samsung.com/relationship#hasOlderSisterOfFemale>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older sister of female"
<http://pkg.samsung.com/relationship#hasOlderSisterOfMale>,<http://www.w3.org/2000/01/rdf-schema#label>,"Older sister of male"
<http://pkg.samsung.com/relationship#hasParent>,<http://www.w3.org/2000/01/rdf-schema#label>,"Parent"
<http://pkg.samsung.com/relationship#hasPaternalGrandfather>,<http://www.w3.org/2000/01/rdf-schema#label>,"Paternal grandfather"
<http://pkg.samsung.com/relationship#hasPaternalGrandmother>,<http://www.w3.org/2000/01/rdf-schema#label>,"Paternal grandmother"
<http://pkg.samsung.com/relationship#hasRelative>,<http://www.w3.org/2000/01/rdf-schema#label>,"Relative"
<http://pkg.samsung.com/relationship#hasSister>,<http://www.w3.org/2000/01/rdf-schema#label>,"Sister"
<http://pkg.samsung.com/relationship#hasSon>,<http://www.w3.org/2000/01/rdf-schema#label>,"Son"
<http://pkg.samsung.com/relationship#hasSonInLaw>,<http://www.w3.org/2000/01/rdf-schema#label>,"Son-in-law"
<http://pkg.samsung.com/relationship#hasSpouse>,<http://www.w3.org/2000/01/rdf-schema#label>,"Spouse"
<http://pkg.samsung.com/relationship#hasWife>,<http://www.w3.org/2000/01/rdf-schema#label>,"Wife"
<http://pkg.samsung.com/relationship#hasYoungerBrother>,<http://www.w3.org/2000/01/rdf-schema#label>,"Younger brother"
<http://pkg.samsung.com/relationship#hasYoungerSister>,<http://www.w3.org/2000/01/rdf-schema#label>,"Younger sister"
<http://pkg.samsung.com/relationship#sameAs>,<http://www.w3.org/2000/01/rdf-schema#label>,"same as"
<http://pkg.samsung.com/service#description>,<http://www.w3.org/2000/01/rdf-schema#label>,"description"
<http://pkg.samsung.com/service#title>,<http://www.w3.org/2000/01/rdf-schema#label>,"title"
<http://pkg.samsung.com/user#Booking>,<http://www.w3.org/2000/01/rdf-schema#label>,"Booking"
<http://pkg.samsung.com/user#Eating>,<http://www.w3.org/2000/01/rdf-schema#label>,"Eating"
<http://pkg.samsung.com/user#Engram>,<http://www.w3.org/2000/01/rdf-schema#label>,"Engram"
<http://pkg.samsung.com/user#Exercising>,<http://www.w3.org/2000/01/rdf-schema#label>,"Exercising"
<http://pkg.samsung.com/user#GeneralEngram>,<http://www.w3.org/2000/01/rdf-schema#label>,"General engram"
<http://pkg.samsung.com/user#ListeningToMusic>,<http://www.w3.org/2000/01/rdf-schema#label>,"Listening to music"
<http://pkg.samsung.com/user#Meeting>,<http://www.w3.org/2000/01/rdf-schema#label>,"Meeting"
<http://pkg.samsung.com/user#Moving>,<http://www.w3.org/2000/01/rdf-schema#label>,"Moving"
<http://pkg.samsung.com/user#Paying>,<http://www.w3.org/2000/01/rdf-schema#label>,"Paying"
<http://pkg.samsung.com/user#Person>,<http://www.w3.org/2000/01/rdf-schema#label>,"Person"
<http://pkg.samsung.com/user#PlayingGame>,<http://www.w3.org/2000/01/rdf-schema#label>,"Playing game"
<http://pkg.samsung.com/user#SharingContents>,<http://www.w3.org/2000/01/rdf-schema#label>,"Sharing content"
<http://pkg.samsung.com/user#Sleeping>,<http://www.w3.org/2000/01/rdf-schema#label>,"Sleeping"
<http://pkg.samsung.com/user#SpeakingOnPhone>,<http://www.w3.org/2000/01/rdf-schema#label>,"Speaking on the phone"
<http://pkg.samsung.com/user#SpecialEngram>,<http://www.w3.org/2000/01/rdf-schema#label>,"Special engram"
<http://pkg.samsung.com/user#Staying>,<http://www.w3.org/2000/01/rdf-schema#label>,"Staying"
<http://pkg.samsung.com/user#StoringContents>,<http://www.w3.org/2000/01/rdf-schema#label>,"Storing content"
<http://pkg.samsung.com/user#SurfingInternet>,<http://www.w3.org/2000/01/rdf-schema#label>,"Surfing the internet"
<http://pkg.samsung.com/user#TakingPictures>,<http://www.w3.org/2000/01/rdf-schema#label>,"Taking pictures"
<http://pkg.samsung.com/user#WatchingVideo>,<http://www.w3.org/2000/01/rdf-schema#label>,"Watching video"
<http://pkg.samsung.com/user#atLocation>,<http://www.w3.org/2000/01/rdf-schema#label>,"at"
<http://pkg.samsung.com/user#extractedFrom>,<http://www.w3.org/2000/01/rdf-schema#label>,"related content"
<http://pkg.samsung.com/user#fromApplication>,<http://www.w3.org/2000/01/rdf-schema#label>,"from application"
<http://pkg.samsung.com/user#fromLocation>,<http://www.w3.org/2000/01/rdf-schema#label>,"from"
<http://pkg.samsung.com/user#fromPerson>,<http://www.w3.org/2000/01/rdf-schema#label>,"from"
<http://pkg.samsung.com/user#hasTag>,<http://www.w3.org/2000/01/rdf-schema#label>,"has tag"
<http://pkg.samsung.com/user#onApplication>,<http://www.w3.org/2000/01/rdf-schema#label>,"on application"
<http://pkg.samsung.com/user#recipientName>,<http://www.w3.org/2000/01/rdf-schema#label>,"recipient name"
<http://pkg.samsung.com/user#senderName>,<http://www.w3.org/2000/01/rdf-schema#label>,"sender name"
<http://pkg.samsung.com/user#toApplication>,<http://www.w3.org/2000/01/rdf-schema#label>,"to application"
<http://pkg.samsung.com/user#toLocation>,<http://www.w3.org/2000/01/rdf-schema#label>,"to"
<http://pkg.samsung.com/user#toPerson>,<http://www.w3.org/2000/01/rdf-schema#label>,"to"
<http://pkg.samsung.com/user#withPerson>,<http://www.w3.org/2000/01/rdf-schema#label>,"with"
<http://www.w3.org/2006/time#TemporalEntity>,<http://www.w3.org/2000/01/rdf-schema#label>,"Temporal entity"
